retailer,month,revenue,gmv,margin,cpa_in,transactions,cb_total
OBI,202602,49.6,991.91,7.29,5.0,5,42.3
OBI,202603,54.04,1080.7,0.0,5.0,5,54.03
OBI,202604,142.68,2853.61,71.8,5.0,10,70.88
OleOle!,202511,22.61,1130.71,-0.95,2.0,1,23.56
OleOle!,202512,215.51,10775.02,-4.86,2.0,5,220.37
OleOle!,202601,238.74,11936.85,105.39,2.0,3,133.35
OleOle!,202602,638.63,31931.62,159.66,2.0,3,478.97
OleOle!,202603,444.74,16535.36,321.43,2.7,6,123.31
OleOle!,202604,184.16,9207.77,124.79,2.0,6,59.37
Olimp Store,202602,1.51,36.03,0.0,4.2,1,0.0
Orange,202601,82.52,0.24,1.37,34383.3,1,81.15
Orange,202603,531.95,1.92,4.66,27705.7,9,527.29
Orange,202604,27.76,0.46,-0.16,6034.8,2,27.92
Orange,202605,84.48,0.23,-0.0,36730.4,1,84.48
Orange Store,202601,84.37,3998.12,4.58,2.1,4,79.79
PRM,202512,7.13,71.26,-0.0,10.0,1,7.13
PRM,202603,63.17,631.7,25.27,10.0,3,37.9
PRM,202604,25.42,254.22,1.6,10.0,2,23.82
Pan Materac,202509,0.87,10.88,0.0,8.0,1,0.87
Pan Materac,202510,133.38,1667.29,-0.75,8.0,1,134.13
Pan Materac,202601,357.58,4469.69,-0.94,8.0,2,358.52
Pan Materac,202602,502.2,6277.53,1.06,8.0,3,501.14
Pan Materac,202603,140.98,1762.27,1.48,8.0,2,139.5
Pan Materac,202604,1339.08,16738.36,-7.88,8.0,4,1346.96
Peek & Cloppenburg,202604,4.25,141.74,0.71,3.0,1,3.54
Perfumy.pl,202601,54.66,962.24,6.54,5.7,1,48.11
